Date,Site traffic weekly (measured every monday for the last week),Number of members on datahubio chat on gitter (every monday),Total number of data requests per week
2017-08-21,1069,,
2017-08-28,2194,,
2017-09-04,3582,,
2017-09-11,4579,,
2017-09-18,3781,,
2017-09-25,4038,,
2017-10-02,4134,,
2017-10-09,3651,,
2017-10-16,3941,,
2017-10-23,4661,,
2017-10-27,4693,,
2017-11-03,4546,,
2017-11-10,4960,,
2017-11-17,5607,,
2017-11-24,5285,,
2017-12-01,6146,57,
2017-12-08,6350,61,
2017-12-15,5872,65,
2017-12-22,5820,65,
2017-12-29,3864,,
2018-01-03,,66,
2018-01-05,4491,69,
2018-01-12,5934,69,
2018-01-19,6255,71,
2018-01-26,5484,73,
2018-02-02,5801,75,
2018-02-09,6117,76,
2018-02-16,5674,80,
2018-02-23,5746,84,
2018-03-02,5946,87,
2018-03-09,6010,88,
2018-03-16,6566,88,
2018-03-23,6130,91,
2018-03-30,6486,92,
2018-04-06,6171,93,
2018-04-13,6421,97,
2018-04-20,6942,99,
2018-04-27,6613,,
2018-05-07,5723,101,
2018-05-14,5986,101,
2018-05-21,6262,102,
2018-05-28,5748,104,
2018-06-04,5608,104,2
2018-06-11,6542,105,1
